Tarih,ONS,Gram,Ceyrek,Cumhuriyet
2026-03-19,4600.7001953125,6555.481957955616,10516.085640887135,43266.18092250706
2026-03-20,4570.39990234375,6510.059119974912,10443.21983829309,42966.39019183442
2026-03-21,4570.39990234375,6510.059119974912,10443.21983829309,42966.39019183442
2026-03-22,4570.39990234375,6510.059119974912,10443.21983829309,42966.39019183442
2026-03-23,4404.10009765625,6271.639165488829,10060.75449463833,41392.81849222627
2026-03-24,4399.2998046875,6271.281206881807,10060.180269372897,41390.455965419926
2026-03-25,4549.7998046875,6485.92378703539,10404.502741702605,42807.096994433574
2026-03-26,4375.5,6239.604800753197,10009.366034541588,41181.3916849711
2026-03-27,4492.0,6420.317191132654,10299.258827441965,42374.09346147552
2026-03-28,4492.0,6420.317191132654,10299.258827441965,42374.09346147552
2026-03-29,4492.0,6418.822538203629,10296.861155034987,42364.22875214395
2026-03-30,4526.0,6471.582641238533,10381.49715365348,42712.44543217432
2026-03-31,4647.60009765625,6642.615530832838,10655.862414044344,43841.26250349673
2026-04-01,4783.2001953125,6841.2673833809495,10974.533094173605,45152.364730314264
2026-04-02,4651.5,6663.279379267114,10689.01067090766,43977.64390316295
2026-04-03,4651.5,6663.279379267114,10689.01067090766,43977.64390316295
2026-04-04,4651.5,6663.279379267114,10689.01067090766,43977.64390316295
2026-04-05,4651.5,6667.511233213061,10695.799269945952,44005.5741392062
2026-04-06,4656.7998046875,6678.252126856806,10713.02945349946,44076.46403725492
2026-04-07,4657.10009765625,6673.113281349378,10704.785888831293,44042.54765690589
2026-04-08,4749.5,6792.807210905408,10896.794900827426,44832.5275919757
2026-04-09,4792.2001953125,6877.512497272603,11032.676297708133,45391.582481999176
2026-04-10,4761.89990234375,6834.027117891449,10962.918501617532,45104.57897808356
2026-04-11,4761.89990234375,6834.027117891449,10962.918501617532,45104.57897808356
2026-04-12,4761.89990234375,6843.442761140083,10978.022762662216,45166.72222352454
2026-04-13,4742.39990234375,6815.937069378122,10933.89904879407,44985.1846578956
2026-04-14,4825.0,6939.105143442733,11131.481167606049,45798.09394672204
2026-04-15,4800.0,6902.548993431205,11072.839010295891,45556.82335664596
2026-04-16,4785.39990234375,6900.123914073043,11068.948778825505,45540.81783288209
2026-04-17,4857.60009765625,7004.230217504974,11235.952640580896,46227.91943553282
2026-04-18,4857.60009765625,7004.230217504974,11235.952640580896,46227.91943553282
2026-04-19,4857.60009765625,7005.120285473921,11237.380457947747,46233.79388412788
2026-04-20,4806.60009765625,6936.410938678382,11127.159214129904,45780.31219527732
2026-04-21,4698.39990234375,6785.357567760628,10884.844431616006,44783.35994722014
2026-04-22,4732.5,6834.741388172184,10964.064310192878,45109.29316193642
2026-04-23,4705.10009765625,6803.595701592973,10914.10143797206,44903.73163051362
